nombre,direccion,codigo_postal,puntuacion_media,numero_reviews,tipo_negocio,latitud,longitud,categoria_negocio
Albemarle,Albemarle,28001,,,"locality, political",35.3501426,-80.2000578,Administración / Localidad
Complete Auto Care,"24267 Old Aquadale Road, Albemarle",28001,5.0,3.0,"car_repair, point_of_interest, establishment",35.318494,-80.2043012,Comercio / Servicios
Ageless Products Inc,"24101 North Carolina 138, Albemarle",28001,,,"hair_care, health, point_of_interest, establishment",35.3176634,-80.198769,Comercio / Servicios
Hudson Steel Guitars,"24253 Old Aquadale Road, Albemarle",28001,,,"point_of_interest, store, establishment",35.3182322,-80.20476579999999,Comercio / Servicios
Structural Building Components Inc.,"36689 Truss Lane, Albemarle",28001,3.3,7.0,"point_of_interest, establishment",35.3310982,-80.19960619999999,Otros / No categorizado
Albemarle City Wastewater Plant,"1040 Coble Avenue, Albemarle",28001,,,"local_government_office, point_of_interest, establishment",35.33406159999999,-80.2132896,Administración / Localidad
First Hmong Baptist Church of Albemarle,"325 Henning Drive, Albemarle",28001,4.0,4.0,"church, place_of_worship, point_of_interest, establishment",35.3327148,-80.20011509999999,Religión / Culto
Maintenance Department,"913 Coble Avenue, Albemarle",28001,,,"local_government_office, point_of_interest, establishment",35.3371356,-80.2142478,Administración / Localidad
NCDOT Traffic Services for Division 10,"903 Coble Avenue, Albemarle",28001,3.7,6.0,"local_government_office, point_of_interest, establishment",35.338316,-80.2133381,Administración / Localidad
Miracle-Ear Hearing Aid Center,"405 Commerce Street Ste B, Albemarle",28001,3.5,4.0,"health, point_of_interest, store, establishment",35.338234,-80.2163771,Comercio / Servicios
Stanly County Board of Education,"723 Aquadale Road, Albemarle",28001,3.5,6.0,"school, point_of_interest, establishment",35.3304378,-80.2003283,Educación
By-Pass Auto Sales,"1400 North Carolina 24, Albemarle",28001,4.5,50.0,"car_dealer, point_of_interest, store, establishment",35.3350906,-80.22212209999999,Comercio / Servicios
Tim Marburger Honda,"410 Aquadale Road, Albemarle",28001,4.5,545.0,"car_dealer, point_of_interest, store, establishment",35.3369002,-80.201292,Comercio / Servicios
"Elite Care Services, Inc.","723 Aquadale Road, Albemarle",28001,3.0,3.0,"health, point_of_interest, establishment",35.33043829999999,-80.200324,Salud
Allpro Fleet & Auto Services,"24267 Old Aquadale Road, Albemarle",28001,4.4,43.0,"car_repair, point_of_interest, establishment",35.3185181,-80.20427459999999,Comercio / Servicios
Rolling Hills Mobile Home and RV Park,"35419 Dry Road, Albemarle",28001,4.4,47.0,"campground, park, rv_park, lodging, point_of_interest, establishment",35.313876,-80.2157203,Alojamiento
"Dependable Doors, LLC.","Oakhurst Road, Albemarle",28001,5.0,23.0,"point_of_interest, establishment",35.3269621,-80.20081909999999,Otros / No categorizado
The Rock Christian Fellowship Church,"26294 Justus Road, Albemarle",28001,5.0,3.0,"church, place_of_worship, point_of_interest, establishment",35.3274695,-80.2005727,Religión / Culto
Mac's Restaurant Equipment Services,"35418 Dry Road, Albemarle",28001,2.5,2.0,"point_of_interest, store, establishment",35.3126018,-80.215786,Comercio / Servicios
Windsor Hills,Albemarle,28001,,,"neighborhood, political",35.3306986,-80.2053363,Administración / Localidad
Just x You,"307 Fairchild Way, Albemarle",28001,,,"point_of_interest, store, establishment",35.33231299999999,-80.205353,Comercio / Servicios
Bethesda Cemetery,Albemarle,28001,,,"cemetery, point_of_interest, establishment",35.3212188,-80.19421919999999,Otros / No categorizado
