nombre,direccion,codigo_postal,puntuacion_media,numero_reviews,tipo_negocio,latitud,longitud
Albemarle,Albemarle,28001,,,"locality, political",35.3501426,-80.2000578
Complete Auto Care,"24267 Old Aquadale Road, Albemarle",28001,5.0,3.0,"car_repair, point_of_interest, establishment",35.318494,-80.2043012
Ageless Products Inc,"24101 North Carolina 138, Albemarle",28001,,,"hair_care, health, point_of_interest, establishment",35.3176634,-80.198769
Hudson Steel Guitars,"24253 Old Aquadale Road, Albemarle",28001,,,"point_of_interest, store, establishment",35.3182322,-80.20476579999999
Structural Building Components Inc.,"36689 Truss Lane, Albemarle",28001,3.3,7.0,"point_of_interest, establishment",35.3310982,-80.19960619999999
Albemarle City Wastewater Plant,"1040 Coble Avenue, Albemarle",28001,,,"local_government_office, point_of_interest, establishment",35.33406159999999,-80.2132896
First Hmong Baptist Church of Albemarle,"325 Henning Drive, Albemarle",28001,4.0,4.0,"church, place_of_worship, point_of_interest, establishment",35.3327148,-80.20011509999999
Maintenance Department,"913 Coble Avenue, Albemarle",28001,,,"local_government_office, point_of_interest, establishment",35.3371356,-80.2142478
NCDOT Traffic Services for Division 10,"903 Coble Avenue, Albemarle",28001,3.7,6.0,"local_government_office, point_of_interest, establishment",35.338316,-80.2133381
Miracle-Ear Hearing Aid Center,"405 Commerce Street Ste B, Albemarle",28001,3.5,4.0,"health, point_of_interest, store, establishment",35.338234,-80.2163771
Stanly County Board of Education,"723 Aquadale Road, Albemarle",28001,3.5,6.0,"school, point_of_interest, establishment",35.3304378,-80.2003283
By-Pass Auto Sales,"1400 North Carolina 24, Albemarle",28001,4.5,50.0,"car_dealer, point_of_interest, store, establishment",35.3350906,-80.22212209999999
Tim Marburger Honda,"410 Aquadale Road, Albemarle",28001,4.5,545.0,"car_dealer, point_of_interest, store, establishment",35.3369002,-80.201292
"Elite Care Services, Inc.","723 Aquadale Road, Albemarle",28001,3.0,3.0,"health, point_of_interest, establishment",35.33043829999999,-80.200324
Allpro Fleet & Auto Services,"24267 Old Aquadale Road, Albemarle",28001,4.4,43.0,"car_repair, point_of_interest, establishment",35.3185181,-80.20427459999999
