nombre,direccion,codigo_postal,puntuacion_media,numero_reviews,tipo_negocio,latitud,longitud
Madrid,Madrid,28004,,,"locality, political",40.41672790000001,-3.7032905
Hotel Infantas by Mij,"Calle de las Infantas, 29, Madrid",28004,4.2,835.0,"lodging, point_of_interest, establishment",40.4201069,-3.6970542
Petit Palace Triball,"Calle Gonzalo Jiménez de Quesada, 2, Madrid",28004,4.5,1726.0,"lodging, point_of_interest, establishment",40.42056549999999,-3.7029078
INNSiDE by Meliá Madrid Gran Vía,"Calle de Mesonero Romanos, 13, Madrid",28004,4.3,1801.0,"lodging, point_of_interest, establishment",40.420612,-3.703958
Hotel Regina Madrid,"Calle Alcalá, 19, Madrid",28004,4.5,2710.0,"lodging, point_of_interest, establishment",40.4179133,-3.699877499999999
Vincci Capitol Hotel,"Gran Vía, 41, Madrid",28004,4.4,2626.0,"lodging, point_of_interest, establishment",40.420444,-3.706584
Hotel Quatro Puerta Del Sol,"Calle de Sevilla, 4, Madrid",28004,4.0,1125.0,"lodging, point_of_interest, establishment",40.41706469999999,-3.6999545
Hotel Europa,"Calle del Carmen, 4, Madrid",28004,4.4,2060.0,"lodging, point_of_interest, establishment",40.4175032,-3.7033915
Hotel NH Collection Madrid Colón,"Calle del Marqués de Zurgena, 4, Madrid",28004,4.6,1484.0,"lodging, point_of_interest, establishment",40.42607599999999,-3.689069999999999
Hotel Urban,"Carrera de San Jerónimo, 34, Madrid",28004,4.5,1911.0,"lodging, point_of_interest, establishment",40.4164449,-3.6986026
Hotel Victoria 4,"Calle de la Victoria, 4, Madrid",28004,4.1,1098.0,"lodging, point_of_interest, establishment",40.416379,-3.701742399999999
Eurostars Madrid Gran Vía,"Calle de Leganitos, 13, Madrid",28004,4.1,1375.0,"lodging, point_of_interest, establishment",40.4212153,-3.7099122
Hostal Puerta del Sol,"Puerta del Sol, 14, Madrid",28004,4.0,276.0,"lodging, point_of_interest, establishment",40.4171537,-3.7025296
Hotel Atlántico,"Gran Vía, 38, Madrid",28004,4.7,1329.0,"lodging, point_of_interest, establishment",40.42040529999999,-3.7045863
Hotel Santo Domingo,"Calle de San Bernardo, 1, Madrid",28004,3.9,5726.0,"lodging, point_of_interest, establishment",40.4206587,-3.7085482
Room Mate Oscar Hotel,"Plaza de Pedro Zerolo, 12, Madrid",28004,4.5,3312.0,"lodging, point_of_interest, establishment",40.4206371,-3.6990059
Petit Palace Tres Cruces,"Calle de las Tres Cruces, 6, Madrid",28004,4.4,1381.0,"lodging, point_of_interest, establishment",40.41933119999999,-3.7027806
Petit Palace Chueca,"Calle de Hortaleza, 3, Madrid",28004,4.4,1466.0,"lodging, cafe, restaurant, point_of_interest, food, store, establishment",40.420354,-3.7011024
Hotel Sterling Gran Vía,"Calle de San Bernardo, 29, 31, Madrid",28004,3.9,1414.0,"lodging, point_of_interest, establishment",40.423015,-3.707661
Centro,Centro,28004,,,"sublocality_level_1, sublocality, political",40.4167234,-3.7033851
Hotel Catalonia Gran Vía Madrid,"Gran Vía, 7-9, Madrid",28004,4.3,2742.0,"lodging, point_of_interest, establishment",40.4194421,-3.6988293
Hotel Madrid II Castillas,"Calle de la Abada, 7, Madrid",28004,4.3,1313.0,"lodging, point_of_interest, establishment",40.4192202,-3.704376799999999
ibis Madrid Centro,"Calle de Manuela Malasaña, 6, Madrid",28004,4.4,1257.0,"lodging, point_of_interest, establishment",40.4287373,-3.703080499999999
Hotel Fénix Gran Meliá - The Leading Hotels of the World,"Calle de Hermosilla, 2, Madrid",28004,4.6,1670.0,"lodging, point_of_interest, establishment",40.426552,-3.68921
Petit Palace Plaza del Carmen,"Plaza del Carmen, 4, Madrid",28004,4.4,1006.0,"lodging, point_of_interest, establishment",40.41903279999999,-3.7029893
Petit Palace Santa Barbara,"Plaza de Santa Bárbara, 10, Madrid",28004,4.5,1687.0,"lodging, restaurant, food, point_of_interest, establishment",40.4264258,-3.696379599999999
Eurostars Casa de la Lírica,"Calle de la Aduana, 19, Madrid",28004,4.3,1396.0,"lodging, point_of_interest, establishment",40.41848239999999,-3.7012592
Petit Palace Preciados,"Calle de Galdo, 2, Madrid",28004,4.2,1338.0,"lodging, point_of_interest, establishment",40.4181053,-3.7043429
VP Jardín de Recoletos,"Calle de Gil de Santivañes, 6, Madrid",28004,4.5,668.0,"parking, lodging, restaurant, food, point_of_interest, establishment",40.4223075,-3.689168100000001
Apart-Hotel Serrano Recoletos,"Calle de Villanueva, 2, Madrid",28004,3.6,860.0,"lodging, point_of_interest, establishment",40.4227751,-3.6900327
Hotel Regente Madrid,"Calle de Mesonero Romanos, 9, Madrid",28004,4.2,2821.0,"lodging, point_of_interest, establishment",40.41970959999999,-3.7043006
Hotel Liabeny,"Calle de la Salud, 3, Madrid",28004,4.5,2988.0,"lodging, point_of_interest, establishment",40.4186836,-3.7040003
Intelier Palacio San Martín,"Plaza de San Martín, 5, Madrid",28004,4.5,1269.0,"lodging, restaurant, food, point_of_interest, establishment",40.4186427,-3.7067589
ME Madrid Reina Victoria,"Plaza de Santa Ana, 14, Madrid",28004,4.4,2509.0,"lodging, point_of_interest, establishment",40.414601,-3.701377000000001
Petit Palace Plaza España,"Calle de San Bernardo, 3, Madrid",28004,4.2,1381.0,"lodging, point_of_interest, establishment",40.42088999999999,-3.7083531
AC Hotel Recoletos,"Calle de Recoletos, 18, Madrid",28004,4.5,581.0,"lodging, point_of_interest, establishment",40.42144649999999,-3.6895566
"Mandarin Oriental Ritz, Madrid","Plaza de la Lealtad, 5, Madrid",28004,4.7,3941.0,"spa, lodging, food, point_of_interest, establishment",40.4157577,-3.692606699999999
Hotel Mayorazgo,"Calle de la Flor Baja, 3, Madrid",28004,4.4,4709.0,"lodging, point_of_interest, establishment",40.4221209,-3.7095924
7 Islas Hotel,"Calle de Valverde, 14, Madrid",28004,4.5,1327.0,"lodging, point_of_interest, establishment",40.4212482,-3.7018303
Hotel Gran Versalles,"Calle de Covarrubias, 4, Madrid",28004,4.2,2328.0,"lodging, point_of_interest, establishment",40.4284208,-3.6970266
Hotel Sardinero Madrid,"Plaza de Alonso Martínez, 3, Madrid",28004,4.6,856.0,"lodging, point_of_interest, establishment",40.4282198,-3.6960866
Hotel Vincci Centrum,"Calle de Cedaceros, 4, Madrid",28004,4.3,1318.0,"lodging, point_of_interest, establishment",40.4175772,-3.698596899999999
Hotel Anaco,"Calle de las Tres Cruces, 3, Madrid",28004,3.2,909.0,"lodging, point_of_interest, establishment",40.4193472,-3.7030945
H10 Villa de la Reina Boutique Hotel,"Gran Vía, 22, E, Madrid",28004,4.5,1425.0,"lodging, point_of_interest, establishment",40.4200443,-3.7002792
Boutike Cibeles,"Calle Alcalá, 57, Madrid",28004,4.5,225.0,"lodging, point_of_interest, establishment",40.4198688,-3.6914576
Casa Almagro by The Pavilions Hotels & Resorts,"Calle de Amador de los Ríos, 3, Madrid",28004,4.6,408.0,"lodging, point_of_interest, establishment",40.4270812,-3.691410200000001
Hotel Avenida Gran Via,"Calle de Mesonero Romanos, 14, Madrid",28004,3.7,823.0,"lodging, point_of_interest, establishment",40.41970120000001,-3.7040755
Hotel Madrisol,"Calle de Núñez de Arce, 1, Madrid",28004,3.5,813.0,"lodging, point_of_interest, establishment",40.415849,-3.7011718
Casino de Madrid,"Calle Alcalá, 15, Madrid",28004,4.6,2115.0,"point_of_interest, establishment",40.4178115,-3.7002572
Hospes Puerta de Alcalá,"Plaza de la Independencia, 3, Madrid",28004,4.4,1028.0,"spa, lodging, restaurant, food, point_of_interest, establishment",40.4206199,-3.689281300000001
Hotel Moderno,"Calle del Arenal, 2, Madrid",28004,4.4,2160.0,"lodging, point_of_interest, establishment",40.4170417,-3.7048905
Hotel Ateneo Puerta del Sol,"Calle de la Montera, 22, Madrid",28004,4.2,593.0,"lodging, point_of_interest, establishment",40.4182378,-3.7024151
Hotel One Shot Luchana 22,"Calle de Luchana, 22, Madrid",28004,4.0,805.0,"lodging, point_of_interest, establishment",40.43028249999999,-3.700095799999999
Petit Palace Cliper Gran Vía,"Calle de Chinchilla, 6, Madrid",28004,4.1,1467.0,"lodging, point_of_interest, establishment",40.4196585,-3.7035852
Hotel Vincci Via 66,"Gran Vía, 66, Madrid",28004,4.4,2274.0,"lodging, point_of_interest, establishment",40.42242909999999,-3.708891500000001
Palacio de los Duques Gran Meliá - The Leading Hotels of the World,"Cuesta de Santo Domingo, 5, Madrid",28004,4.7,2302.0,"lodging, point_of_interest, establishment",40.419756,-3.709671
Relais & Chateaux Hotel Orfila,"Calle de Orfila, 6, Madrid",28004,4.6,611.0,"lodging, point_of_interest, establishment",40.4272003,-3.6932807
Hostal Bianco,"Calle de Echegaray, 5 -1, Derecha, Madrid",28004,4.4,234.0,"lodging, point_of_interest, establishment",40.4160129,-3.6995733
Petit Palace Arenal,"Calle del Arenal, 16, Madrid",28004,4.4,1677.0,"lodging, point_of_interest, establishment",40.41734899999999,-3.7064961
Petit Palace Alcalá,"Calle de la Virgen de los Peligros, 2, Madrid",28004,4.3,1285.0,"lodging, point_of_interest, establishment",40.4183201,-3.6993136
Madrid,Madrid,28005,,,"locality, political",40.41672790000001,-3.7032905
Hotel Puerta de Toledo,"Glorieta de la Puerta de Toledo, 4, Madrid",28005,4.3,3822.0,"lodging, point_of_interest, establishment",40.4063206,-3.7122787
Hotel NH Madrid Ribera del Manzanares,"Paseo de la Virgen del Puerto, 57, Madrid",28005,4.4,3669.0,"lodging, point_of_interest, establishment",40.40634,-3.721825999999999
Hotel Praga,"Calle de Antonio López, 65, Madrid",28005,4.1,7543.0,"lodging, point_of_interest, establishment",40.394073,-3.707562
